Age,Workclass,Years of Education,Occupation,Race,Sex,Hour/Week,Country,Classification
25, ?,10, ?, White, Male,40, USA, No
19, Private,10, Prof-specialty, White, Male,32, USA, No
31, Private,13, Business, Black, Female,40, USA, No
29, Self,13, Business, White, Male,70, USA, Yes
23, Private,10, Machine-op-inspct, White, Male,40, USA, No
79, Private,10, Prof-specialty, White, Male,20, USA, No
27, Private,9, Other-service, White, Male,40, Other, No
40, Private,12, Adm-clerical, White, Male,40, USA, No
67, ?,6, ?, White, Male,2, USA, No
18, Private,7, Other-service, White, Female,22, USA, No
31, Government,4, Farming-fishing, White, Male,40, USA, No
18, Private,9, Business, White, Male,30, USA, No
52, Private,13, Other-service, White, Male,40, Other, No
46, Private,9, Other-service, White, Female,40, USA, No
59, Private,9, Business, White, Male,48, USA, No
44, Private,9, Craft-repair, White, Female,40, USA, Yes
53, Private,9, Business, White, Female,35, USA, No
49, Government,9, Protective-serv, White, Male,40, USA, Yes
33, Private,14, Prof-specialty, White, Male,50, USA, No
30, Private,5, Business, White, Male,40, USA, No
43, Government,16, Prof-specialty, White, Female,50, USA, Yes
57, Private,11, Prof-specialty, White, Male,40, USA, No
37, Private,10, Craft-repair, White, Female,40, USA, No
28, Private,10, Machine-op-inspct, Black, Female,25, USA, No
30, Private,9, Business, Other, Female,35, ?, No
34, Government,13, Protective-serv, White, Male,40, USA, Yes
29, Government,10, Handlers-cleaners, White, Male,50, USA, No
48, Self,16, Prof-specialty, White, Male,60, USA, Yes
37, Private,10, Business, White, Male,48, USA, Yes
48, Private,12, Business, White, Female,40, Other, No
32, Government,9, Other-service, Black, Male,40, USA, No
76, Private,14, Business, White, Male,40, USA, Yes
44, Private,13, Business, White, Male,60, USA, Yes
47, Self,14, Prof-specialty, White, Female,50, USA, No
20, Private,10, Tech-support, White, Female,40, USA, No
29, Private,9, Craft-repair, White, Male,40, USA, No
32, Self,9, Craft-repair, White, Male,40, USA, Yes
17, ?,6, ?, White, Female,32, USA, No
30, Private,7, Handlers-cleaners, White, Male,40, USA, No
31, Government,9, Adm-clerical, White, Female,40, USA, No
42, Private,9, Handlers-cleaners, White, Male,40, USA, No
24, Private,13, Business, White, Male,40, USA, No
38, Private,15, Prof-specialty, White, Male,40, USA, Yes
56, Self,9, Other-service, White, Male,50, Other, Yes
28, Private,10, Business, White, Female,25, USA, No
36, Private,9, Machine-op-inspct, White, Female,40, USA, No
53, Private,5, Handlers-cleaners, White, Male,50, USA, No
56, Self,10, Business, White, Male,50, USA, No
49, Government,11, Craft-repair, Black, Male,40, USA, Yes
55, Private,10, Business, White, Male,56, USA, No
22, Private,9, Craft-repair, White, Male,41, USA, No
21, Private,10, Other-service, White, Female,40, USA, No
40, Private,13, Business, White, Male,60, USA, No
30, Private,13, Business, Black, Male,40, Other, No
29, Government,13, Prof-specialty, White, Male,50, USA, Yes
19, Private,10, Other-service, Black, Male,35, USA, No
47, Private,13, Business, White, Female,40, USA, Yes
20, Private,10, Adm-clerical, White, Female,28, USA, No
31, Private,12, Adm-clerical, White, Male,40, USA, Yes
35, ?,9, ?, White, Male,40, USA, No
39, Private,10, Craft-repair, White, Male,40, USA, No
28, Private,12, Business, White, Female,60, USA, No
24, Private,9, Other-service, White, Female,40, USA, No
38, Self,9, Craft-repair, White, Male,35, USA, No
37, Private,13, Business, White, Male,50, USA, No
46, Private,12, Tech-support, Black, Female,36, USA, No
38, Government,14, Prof-specialty, White, Male,40, Other, Yes
43, Self,9, Craft-repair, White, Male,60, USA, No
27, Private,11, Adm-clerical, White, Female,35, USA, No
20, Private,10, Business, White, Male,20, USA, No
49, Private,10, Craft-repair, Other, Male,40, USA, Yes
61, Self,9, Craft-repair, White, Male,40, USA, No
27, Private,10, Business, White, Female,40, USA, No
19, Private,10, Other-service, White, Male,30, Other, No
45, Private,11, Prof-specialty, White, Female,40, USA, Yes
70, Private,10, Tech-support, White, Male,40, USA, No
31, Private,9, Transport-moving, Black, Female,30, USA, No
22, Private,10, Other-service, White, Male,24, USA, No
36, Private,9, Other-service, White, Female,24, USA, No
64, Private,7, Craft-repair, White, Male,40, USA, No
43, ?,10, ?, White, Female,40, USA, No
47, Government,10, Adm-clerical, White, Female,38, Other, No
34, Private,9, Adm-clerical, White, Female,40, USA, No
33, Private,13, Business, Other, Female,40, Other, No
21, Private,9, Craft-repair, White, Male,35, USA, No
52, ?,9, ?, White, Male,45, USA, Yes
48, Private,9, Craft-repair, White, Male,46, USA, No
23, Private,13, Handlers-cleaners, White, Male,40, USA, No
71, Self,10, Business, Black, Male,2, USA, No
29, Private,9, Craft-repair, White, Male,60, USA, No
42, Private,13, Other-service, Black, Male,50, USA, No
68, ?,2, ?, White, Female,20, USA, No
25, Private,9, Other-service, White, Female,40, USA, No
44, Self,14, Business, Other, Female,40, USA, No
28, Private,9, Business, Other, Female,40, Other, No
45, Self,14, Business, White, Male,40, USA, Yes
36, Private,10, Other-service, White, Female,40, Other, No
39, Government,12, Business, White, Male,42, USA, No
46, Government,14, Protective-serv, White, Male,40, USA, No
18, Private,7, Handlers-cleaners, White, Male,16, USA, No
66, Government,11, Prof-specialty, White, Female,20, USA, No
27, Private,9, Other-service, White, Male,40, USA, No
28, Government,9, Protective-serv, White, Male,40, USA, No
51, Private,10, Business, White, Male,40, USA, Yes
27, Private,13, Craft-repair, White, Male,50, USA, No
28, Government,13, Prof-specialty, White, Male,40, USA, Yes
27, Private,9, Business, White, Female,25, USA, No
21, Private,9, Craft-repair, Black, Male,40, USA, No
34, Private,9, Handlers-cleaners, Black, Male,40, USA, No
18, Private,9, Other-service, White, Male,12, USA, No
33, Private,13, Prof-specialty, White, Male,65, USA, No
44, Government,10, Business, Black, Male,38, USA, Yes
43, Private,10, Adm-clerical, White, Female,40, USA, No
30, Private,10, Craft-repair, Black, Male,45, USA, No
40, Private,4, Machine-op-inspct, White, Male,40, Other, Yes
37, Government,10, Adm-clerical, White, Male,42, USA, Yes
34, Private,9, Adm-clerical, Black, Male,40, USA, No
41, Self,13, Business, White, Female,40, USA, No
53, ?,13, ?, White, Female,50, USA, No
31, Private,14, Prof-specialty, White, Female,50, USA, No
58, Government,16, Prof-specialty, White, Male,1, USA, Yes
38, Private,10, Machine-op-inspct, Black, Female,28, USA, No
24, Private,10, Machine-op-inspct, White, Male,40, USA, No
41, Government,13, Craft-repair, Black, Male,40, USA, No
47, Private,10, Tech-support, White, Male,45, USA, No
41, Government,13, Tech-support, White, Male,24, USA, No
23, Private,3, Transport-moving, White, Male,40, Other, No
36, Private,10, Craft-repair, White, Male,40, USA, No
40, Government,14, Business, White, Female,55, USA, Yes
35, Private,14, Prof-specialty, White, Male,40, USA, Yes
24, Self,9, Business, White, Male,40, USA, No
26, Private,14, Prof-specialty, White, Female,40, USA, No
19, ?,9, ?, White, Male,40, Other, No
51, Private,13, Business, White, Male,50, USA, Yes
42, Government,10, Prof-specialty, White, Female,40, USA, No
37, Government,9, Adm-clerical, White, Female,35, USA, No
18, Private,7, Business, White, Female,40, USA, No
36, Private,13, Other-service, Black, Male,36, USA, Yes
35, Private,9, Craft-repair, White, Male,60, USA, No
58, Self,9, Business, White, Female,35, USA, Yes
17, Private,7, Business, White, Female,12, USA, No
44, Government,9, Transport-moving, Black, Male,40, USA, No
37, Private,9, Craft-repair, White, Male,40, USA, Yes
35, Private,10, Business, Other, Female,40, USA, No
60, Private,9, Craft-repair, Other, Male,40, USA, No
54, Self,4, Machine-op-inspct, White, Male,40, USA, Yes
37, Private,13, Business, Black, Male,60, USA, Yes
50, Private,12, Business, White, Female,40, USA, No
38, Private,13, Business, White, Male,50, Other, No
45, Private,13, Prof-specialty, White, Male,55, USA, No
25, Private,6, Craft-repair, White, Male,40, USA, No
31, Private,10, Handlers-cleaners, White, Male,40, USA, No
64, ?,2, ?, White, Male,40, USA, No
90, Private,9, Other-service, Black, Male,40, USA, No
54, Private,9, Adm-clerical, Black, Male,20, USA, No
53, Government,1, Machine-op-inspct, White, Female,35, USA, No
18, Private,9, Business, White, Female,40, USA, No
60, ?,6, ?, Other, Female,10, USA, No
66, Self,9, Farming-fishing, White, Male,50, USA, No
75, Private,11, Adm-clerical, White, Female,20, Other, No
65, Private,9, Adm-clerical, White, Female,40, USA, No
35, Private,7, Transport-moving, Black, Male,40, USA, No
41, Private,9, Business, Black, Female,38, USA, No
25, Private,10, Adm-clerical, White, Male,42, USA, No
33, Private,10, Craft-repair, Other, Female,40, USA, No
28, Private,15, Prof-specialty, White, Male,55, USA, Yes
59, Government,9, Other-service, White, Male,40, USA, No
40, Government,10, Adm-clerical, White, Female,38, USA, No
41, Private,13, Business, White, Male,50, Other, Yes
38, Government,14, Business, White, Male,70, USA, Yes
23, Private,9, Transport-moving, White, Male,40, USA, No
40, Private,13, Prof-specialty, White, Male,40, USA, Yes
41, Self,9, Other-service, White, Female,20, USA, No
24, Government,12, Protective-serv, White, Male,50, USA, No
20, ?,10, ?, White, Male,20, USA, No
38, Private,10, Craft-repair, White, Male,40, USA, No
56, Private,9, Adm-clerical, White, Male,35, ?, No
58, Private,9, Adm-clerical, White, Male,45, USA, Yes
32, Private,9, Other-service, White, Female,34, USA, No
40, Private,12, Tech-support, White, Male,60, USA, Yes
45, Private,9, Adm-clerical, White, Male,40, ?, No
41, Private,15, Prof-specialty, White, Female,40, USA, Yes
42, Private,13, Adm-clerical, Black, Female,40, USA, No
59, Government,6, Other-service, Black, Female,30, USA, No
19, Government,10, Adm-clerical, White, Male,40, USA, No
58, Private,10, Transport-moving, White, Male,20, USA, No
42, Self,9, Farming-fishing, Other, Male,40, Other, Yes
20, Private,9, Other-service, White, Female,40, USA, No
32, Private,9, Other-service, White, Female,30, USA, No
45, Private,11, Business, White, Female,45, USA, No
50, Private,4, Craft-repair, White, Male,40, USA, No
36, Private,13, Prof-specialty, White, Female,40, USA, No
45, Private,9, Business, White, Male,60, USA, No
17, Private,7, Other-service, White, Male,12, USA, No
59, Private,10, Business, White, Male,40, USA, No
26, Private,7, Craft-repair, White, Male,40, USA, No
37, Self,10, Business, Other, Male,75, Other, Yes
19, ?,10, ?, White, Male,24, Other, No
64, Private,9, Business, White, Male,40, USA, Yes
33, Private,13, Prof-specialty, White, Female,45, USA, No
33, Private,9, Craft-repair, White, Female,40, USA, Yes
61, Private,9, Business, White, Male,40, USA, Yes
17, Private,5, Other-service, White, Male,24, USA, No
50, Self,14, Farming-fishing, White, Male,98, USA, No
27, Government,14, Prof-specialty, White, Male,35, USA, No
30, Private,9, Prof-specialty, White, Female,40, USA, No
43, Private,9, Handlers-cleaners, Black, Male,40, USA, No
44, Private,10, Craft-repair, White, Male,40, USA, Yes
35, Private,10, Business, White, Female,40, USA, No
25, Private,10, Tech-support, White, Female,40, USA, No
24, Private,10, Machine-op-inspct, White, Female,48, USA, Yes
22, Private,13, Prof-specialty, White, Female,15, Other, No
42, Government,10, Craft-repair, White, Male,40, USA, Yes
34, Private,12, Business, Black, Female,45, USA, No
60, Private,13, Prof-specialty, White, Female,42, USA, No
21, Private,9, Handlers-cleaners, White, Male,40, USA, No
57, Government,14, Business, White, Male,40, USA, Yes
41, Private,15, Prof-specialty, White, Male,60, USA, Yes
50, Private,10, Other-service, White, Male,45, USA, No
25, Private,13, Business, White, Female,40, USA, No
50, Private,4, Craft-repair, White, Male,40, Other, No
36, Private,13, Prof-specialty, White, Male,45, USA, No
31, Private,9, Prof-specialty, White, Female,40, USA, No
29, Government,13, Protective-serv, White, Male,56, USA, No
21, Private,10, Business, White, Male,45, USA, No
27, Private,13, Tech-support, Black, Female,40, USA, No
65, Private,9, Transport-moving, White, Male,16, USA, No
37, Self,13, Business, White, Female,60, USA, No
39, ?,14, ?, Other, Female,40, ?, No
24, Private,9, Craft-repair, White, Male,40, USA, No
38, Private,9, Business, White, Male,80, USA, No
48, Private,13, Adm-clerical, White, Male,40, USA, Yes
21, Private,10, Other-service, Other, Female,25, USA, No
31, Private,9, Transport-moving, White, Male,45, USA, Yes
55, Private,9, Business, White, Male,40, USA, Yes
24, Private,10, Adm-clerical, Other, Female,40, Other, No
43, Private,9, Adm-clerical, White, Female,40, USA, No
26, Private,12, Tech-support, White, Male,45, USA, No
46, Private,12, Prof-specialty, White, Female,33, USA, No
35, Private,12, Adm-clerical, White, Male,40, USA, Yes
41, Self,10, Farming-fishing, White, Male,54, USA, Yes
26, Private,13, Business, White, Male,40, USA, No
34, Private,14, Business, Other, Male,35, Other, Yes
19, ?,10, ?, Black, Female,25, USA, No
36, Self,13, Prof-specialty, Black, Female,40, USA, Yes
22, Private,10, Business, White, Male,15, USA, No
24, Private,10, Machine-op-inspct, White, Male,40, USA, No
77, Self,10, Business, White, Male,40, USA, No
22, Private,3, Machine-op-inspct, White, Female,40, Other, No
29, Private,10, Tech-support, White, Female,40, USA, No
62, Private,9, Other-service, White, Female,24, USA, No
39, Self,9, Business, White, Male,40, USA, No
43, Private,10, Craft-repair, White, Male,50, USA, No
35, Private,9, Transport-moving, White, Male,45, USA, No
29, Private,7, Business, White, Female,40, USA, No
76, Self,14, Craft-repair, White, Male,10, USA, No
63, Self,9, Farming-fishing, White, Male,45, USA, No
23, ?,11, ?, Black, Female,15, USA, No
43, Private,10, Prof-specialty, White, Female,50, USA, Yes
58, Self,9, Handlers-cleaners, White, Male,40, USA, No
66, Private,9, Transport-moving, White, Male,55, USA, No
41, Private,10, Craft-repair, Black, Male,45, USA, No
26, Private,13, Adm-clerical, White, Male,40, USA, No
47, Private,11, Other-service, White, Male,40, USA, No
55, Government,6, Adm-clerical, White, Male,40, USA, No
53, Private,9, Transport-moving, White, Male,40, USA, No
17, Private,3, Other-service, White, Male,48, Other, No
30, Private,9, Craft-repair, White, Male,40, USA, No
49, Private,14, Prof-specialty, White, Male,60, USA, No
19, Private,9, Business, Black, Male,30, Other, No
45, Private,9, Other-service, Black, Male,40, USA, No
26, Private,12, Business, White, Male,40, USA, No
38, Private,11, Craft-repair, White, Male,40, USA, Yes
36, Government,9, Protective-serv, White, Male,40, USA, Yes
33, Private,9, Farming-fishing, White, Male,20, USA, No
22, Government,10, Protective-serv, Black, Female,40, USA, No
43, Self,13, Business, White, Male,42, USA, No
67, ?,7, ?, White, Male,8, USA, No
30, ?,11, ?, White, Female,40, USA, No
56, Private,12, Other-service, White, Male,25, Other, No
31, Private,13, Prof-specialty, White, Male,25, USA, No
33, Private,13, Business, White, Male,40, USA, Yes
26, Private,9, Other-service, White, Male,40, USA, No
33, Private,13, Business, White, Male,40, USA, Yes
46, Government,7, Transport-moving, White, Male,30, USA, No
59, ?,13, ?, White, Male,40, USA, Yes
38, Government,9, Adm-clerical, White, Male,40, USA, Yes
65, Private,7, Other-service, Other, Male,40, USA, No
40, Private,11, Tech-support, White, Male,40, USA, Yes
42, Private,9, Adm-clerical, White, Female,35, USA, No
26, Self,5, Craft-repair, White, Male,40, Other, No
36, Private,6, Other-service, White, Female,24, USA, No
62, Private,14, Prof-specialty, White, Male,40, USA, Yes
43, Private,13, Transport-moving, White, Male,45, USA, No
43, Private,13, Business, White, Male,45, USA, Yes
22, Private,9, Business, White, Male,55, USA, No
28, Private,9, Craft-repair, White, Male,40, USA, No
56, Self,10, Business, White, Male,45, USA, No
22, Private,12, Business, White, Female,15, USA, No
57, Private,13, Business, White, Female,45, USA, Yes
39, Private,9, Business, White, Female,40, USA, No
26, Government,10, Adm-clerical, White, Female,15, USA, No
17, Private,7, Other-service, White, Male,10, USA, No
40, Government,11, Machine-op-inspct, White, Male,38, USA, Yes
45, Private,9, Machine-op-inspct, Black, Male,40, USA, No
44, Private,9, Craft-repair, Black, Male,40, USA, No
20, Government,10, Adm-clerical, White, Female,10, USA, No
33, Private,9, Craft-repair, White, Female,40, USA, No
23, Private,10, Business, White, Male,40, USA, No
46, Self,14, Business, White, Male,30, USA, No
38, Private,9, Business, White, Male,50, USA, No
54, Private,9, Transport-moving, White, Male,40, USA, No
46, Private,3, Craft-repair, White, Female,45, USA, No
25, Private,10, Craft-repair, White, Male,40, USA, No
46, Private,10, Business, White, Female,40, USA, No
36, Government,10, Transport-moving, White, Female,40, USA, No
23, Private,9, Other-service, White, Female,25, USA, No
29, Private,9, Machine-op-inspct, White, Male,40, USA, No
44, Private,10, Adm-clerical, White, Female,6, USA, Yes
19, Private,10, Adm-clerical, White, Female,16, USA, No
19, Private,9, Other-service, White, Female,40, USA, No
35, Private,9, Other-service, White, Female,40, USA, Yes
27, Private,13, Craft-repair, White, Male,50, USA, No
46, Self,12, Craft-repair, White, Male,40, USA, No
34, Government,13, Business, White, Male,45, ?, Yes
34, Private,9, Other-service, White, Female,35, USA, No
44, Private,10, Tech-support, White, Male,40, USA, No
45, Private,10, Handlers-cleaners, White, Female,40, USA, No
20, ?,9, ?, White, Female,35, USA, No
25, Private,13, Business, White, Male,55, USA, Yes
52, Self,13, Business, White, Male,50, USA, Yes
20, Private,10, Handlers-cleaners, White, Male,40, USA, No
28, Private,10, Other-service, White, Female,40, USA, No
50, Government,13, Protective-serv, White, Male,40, USA, Yes
34, Private,11, Tech-support, White, Female,64, USA, No
28, Private,4, Handlers-cleaners, Other, Male,40, Other, No
41, Private,14, Business, White, Male,65, USA, Yes
28, Private,9, Adm-clerical, White, Male,40, USA, No
46, Self,9, Craft-repair, White, Male,25, USA, No
28, ?,10, ?, White, Female,40, USA, Yes
32, Private,10, Business, White, Male,50, USA, No
41, Government,10, Other-service, Black, Female,24, USA, No
24, Private,9, Handlers-cleaners, Black, Female,40, USA, No
33, Private,10, Business, White, Female,40, USA, No
46, Private,16, Business, White, Male,60, USA, Yes
31, Government,10, Machine-op-inspct, White, Male,40, USA, No
35, Private,8, Craft-repair, White, Male,50, USA, Yes
52, Private,2, Machine-op-inspct, White, Male,40, Other, No
30, Private,7, Other-service, White, Female,19, USA, No
34, Government,7, Machine-op-inspct, Black, Male,40, USA, No
34, Government,9, Transport-moving, White, Female,40, USA, No
20, Private,10, Business, White, Male,30, USA, No
17, Private,7, Handlers-cleaners, White, Male,18, USA, No
32, Government,13, Business, White, Female,40, USA, Yes
29, Private,9, Farming-fishing, White, Male,40, USA, No
33, Private,6, Craft-repair, White, Female,35, USA, No
25, Private,9, Transport-moving, White, Male,60, USA, No
36, Government,14, Prof-specialty, White, Male,40, USA, No
23, Private,9, Handlers-cleaners, White, Male,72, Other, No
63, Self,9, Business, White, Male,40, USA, Yes
47, Government,14, Prof-specialty, White, Male,40, USA, No
80, ?,9, ?, White, Male,24, USA, No
17, ?,7, ?, White, Male,40, USA, No
40, Self,13, Prof-specialty, White, Female,40, USA, No
30, Private,12, Other-service, White, Female,25, USA, Yes
27, Private,10, Craft-repair, Other, Male,40, Other, No
33, Private,14, Prof-specialty, White, Male,50, USA, Yes
34, Government,9, Farming-fishing, Black, Male,60, USA, No
34, Government,10, Protective-serv, White, Female,40, USA, No
23, Private,10, Adm-clerical, White, Male,40, USA, No
42, Government,10, Adm-clerical, White, Female,40, USA, No
29, Private,13, Prof-specialty, White, Male,40, USA, No
45, Private,9, Adm-clerical, White, Female,28, USA, No
24, Government,9, Armed-Forces, White, Male,40, USA, No
44, Private,10, Prof-specialty, White, Male,40, USA, Yes
27, Private,5, Craft-repair, White, Male,40, Other, No
20, Private,10, Business, White, Male,35, USA, No
44, Private,9, Business, Black, Female,40, USA, No
51, Private,9, Craft-repair, Other, Male,40, USA, No
20, Private,9, Machine-op-inspct, White, Male,40, USA, No
17, ?,7, ?, White, Female,5, USA, No
19, Private,9, Machine-op-inspct, Black, Female,40, USA, No
45, Self,10, Craft-repair, White, Male,55, USA, Yes
60, Private,9, Craft-repair, White, Male,40, USA, Yes
42, Private,12, Business, Black, Male,40, ?, Yes
44, Self,9, Business, White, Female,40, USA, Yes
40, Private,11, Machine-op-inspct, Other, Male,40, USA, Yes
30, Private,9, Business, White, Female,40, USA, No
38, Private,10, Transport-moving, Black, Male,50, USA, No
23, Private,9, Transport-moving, White, Male,60, USA, No
32, ?,10, ?, White, Male,40, USA, No
44, Private,12, Farming-fishing, White, Male,40, USA, No
54, Government,9, Transport-moving, Black, Male,40, USA, No
32, Private,13, Prof-specialty, White, Male,50, USA, No
50, Private,2, Craft-repair, White, Male,40, USA, No
24, Private,13, Tech-support, White, Female,20, USA, No
37, Private,9, Adm-clerical, White, Female,60, USA, No
52, Private,9, Transport-moving, White, Male,40, USA, No
38, Private,10, Transport-moving, White, Male,40, USA, No
49, Private,14, Business, White, Male,45, USA, Yes
30, Private,13, Tech-support, White, Female,16, USA, Yes
60, Private,10, Prof-specialty, White, Male,40, USA, Yes
22, ?,10, ?, White, Male,40, USA, No
35, Private,9, Craft-repair, White, Male,40, USA, No
30, Private,9, Transport-moving, White, Male,60, USA, No
67, Private,11, Other-service, White, Female,24, USA, No
46, Private,13, Craft-repair, White, Female,40, USA, No
17, Private,5, Other-service, White, Male,6, USA, No
22, Private,10, Handlers-cleaners, White, Male,30, USA, No
27, Private,6, Other-service, White, Male,40, USA, No
23, Private,9, Other-service, White, Female,35, USA, No
33, Private,12, Craft-repair, White, Male,45, Other, No
43, Self,10, Craft-repair, White, Male,20, USA, No
28, Government,13, Prof-specialty, White, Male,20, USA, No
41, Private,9, Craft-repair, White, Female,40, USA, No
52, ?,8, ?, Black, Male,40, USA, No
25, Private,10, Adm-clerical, Black, Female,20, USA, No
63, ?,2, ?, White, Male,35, USA, No
59, Government,9, Transport-moving, White, Male,45, USA, No
45, Government,13, Prof-specialty, White, Female,40, USA, No
38, Private,13, Business, White, Male,60, USA, Yes
40, Private,9, Other-service, White, Female,35, USA, No
46, Government,9, Adm-clerical, White, Male,40, USA, No
35, Private,12, Business, White, Female,60, USA, No
34, Private,9, Prof-specialty, White, Female,25, USA, No
33, Private,13, Craft-repair, White, Male,20, USA, No
41, Private,9, Adm-clerical, White, Female,36, USA, No
20, Private,10, Machine-op-inspct, White, Male,40, USA, No
23, Private,3, Other-service, White, Male,40, Other, No
26, Private,10, Prof-specialty, White, Female,35, USA, No
72, ?,9, ?, White, Male,20, USA, No
23, Government,9, Farming-fishing, White, Male,40, Other, No
62, Government,9, Transport-moving, White, Male,40, USA, No
52, Private,10, Adm-clerical, White, Male,40, USA, No
58, Private,10, Other-service, White, Female,42, Other, No
25, Private,13, Business, White, Female,40, USA, No
24, Private,13, Business, Black, Male,40, USA, No
19, Private,10, Protective-serv, White, Male,8, USA, No
43, Private,10, Business, White, Male,40, USA, No
47, Government,9, Adm-clerical, Black, Female,40, USA, No
39, Private,9, Other-service, White, Female,40, USA, No
49, Private,11, Handlers-cleaners, White, Male,42, USA, No
53, ?,3, ?, Black, Female,30, USA, No
32, Private,11, Craft-repair, White, Male,45, USA, No
34, Private,10, Prof-specialty, White, Male,50, USA, Yes
28, Private,9, Craft-repair, White, Male,45, USA, No
57, ?,11, ?, White, Female,38, USA, No
25, Private,10, Adm-clerical, Other, Female,20, USA, No
20, ?,10, ?, White, Male,24, USA, No
21, ?,10, ?, White, Female,35, USA, No
34, Private,13, Prof-specialty, White, Male,50, USA, Yes
38, Self,13, Business, White, Male,80, USA, Yes
50, Private,9, Business, White, Male,50, USA, Yes
24, Government,10, Handlers-cleaners, Black, Male,50, USA, No
37, Government,10, Tech-support, White, Male,45, USA, Yes
44, Private,10, Machine-op-inspct, White, Male,58, USA, Yes
28, Private,10, Business, White, Female,40, USA, No
42, Private,13, Business, White, Male,40, USA, Yes
74, Private,10, Adm-clerical, White, Female,9, USA, No
38, Self,9, Craft-repair, White, Male,50, USA, No
44, Self,14, Prof-specialty, White, Male,40, USA, No
44, Private,7, Machine-op-inspct, Other, Female,46, Other, No
26, Private,9, Machine-op-inspct, White, Male,40, USA, No
36, Private,9, Other-service, Black, Male,40, USA, No
41, Private,12, Business, White, Female,50, USA, Yes
67, Private,15, Prof-specialty, White, Male,48, USA, Yes
39, Government,8, Tech-support, White, Male,50, USA, No
57, Private,2, Priv-house-serv, Black, Female,30, USA, No
29, Private,11, Craft-repair, White, Male,40, USA, No
31, Self,13, Farming-fishing, White, Female,45, USA, No
34, ?,9, ?, Black, Female,40, USA, No
44, Private,10, Transport-moving, White, Male,40, USA, No
